Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5, C7, C9",0805,6,100n,
C10,CP_EIA-3216-18_Kemet-A,1,4u7,
"C4, C6",0805,2,22p,
C8,CP_EIA-3216-18_Kemet-A,1,10u,
"D1, D2, D3",D_SOD-323,3,1N4148,
"D4, D5",0805,2,LED,
FB1,0805,1,HCB2012KF-400T50,
J2,USB_Micro-B_XKB_U254-051T-4BH83-F1S,1,XKB_U254-051T-4BH83-F1S,
"R1, R2, R3, R4",0805,4,1k,
"R5, R6",0805,2,270R,
SW1,SPEJ110100,1,SPEJ110100,
U1,DIP-40_W15.24mm,1,MC6801,
U2,SOIC-20W_7.5x12.8mm_P1.27mm,1,74LS373,
U3,DIP-20_W7.62mm_Socket,1,GAL16V8,
U4,DIP-28_W15.24mm,1,2764,
U5,SSOP-28_5.3x10.2mm_P0.65mm,1,FT232RL,
Y1,Crystal_HC49-U_Vertical,1,2.4576MHz,
